Creator_Name,#Followers,#Following,#Posts
cedricgrolet,4500000,180,1059
michelinguide,2600000,2007,7855
foodis._media,1700000,53,1764
rayvn_canada,1000000,21,1744
foodie_.lovers_,993000,39,1334
food__.family,968000,0,1604
chefsroll,934000,2162,17226
theartofplating,909000,1429,2776
food.cuisine__,838000,231,600
magazine_of_netherlands,812000,17,546
